?b isMarriedTo ?a,?a isMarriedTo ?b
?a hasMusicalRole wordnet_bass_104986796,?a hasMusicalRole wordnet_guitar_103467517
?a hasMusicalRole wordnet_harmonica_103494278,?a hasMusicalRole wordnet_guitar_103467517
?a isAffiliatedTo Union_for_a_Popular_Movement,?a isPoliticianOf France
?a isAffiliatedTo Rally_for_the_Republic,?a isPoliticianOf France
?a graduatedFrom Sciences_Po,?a isPoliticianOf France
?a wasBornIn Paris,?a isPoliticianOf France
?a isAffiliatedTo Social_Democratic_Party_of_Germany,?a isPoliticianOf Germany
?a hasWonPrize National_Medal_of_Science,?a livesIn United_States
?a wasBornIn Paris,?a isCitizenOf France
?a diedIn Paris,?a isCitizenOf France
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_American_people_of_German_descent,?a isCitizenOf United_States
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_20th-century_American_male_actors,?a isCitizenOf United_States
?a graduatedFrom Massachusetts_Institute_of_Technology,?a isCitizenOf United_States
?a graduatedFrom Stanford_University,?a isCitizenOf United_States
?a graduatedFrom Princeton_University,?a isCitizenOf United_States
?a graduatedFrom Harvard_University,?a isCitizenOf United_States
?a graduatedFrom Yale_University,?a isCitizenOf United_States
?a graduatedFrom Columbia_University,?a isCitizenOf United_States
?a hasWonPrize National_Medal_of_Science,?a isCitizenOf United_States
?a worksAt Massachusetts_Institute_of_Technology,?a isCitizenOf United_States
?a worksAt University_of_Chicago,?a isCitizenOf United_States
?a worksAt Harvard_University,?a isCitizenOf United_States
?a livesIn California,?a isCitizenOf United_States
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_American_films,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_movie_106613686
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_American_films,?a isLocatedIn United_States
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_American_drama_films,?a isLocatedIn United_States
?a dealsWith Belgium,?a dealsWith China
?a dealsWith South_Korea,?a dealsWith China
?a dealsWith Singapore,?a dealsWith China
?a dealsWith Japan,?a dealsWith China
?a dealsWith United_Arab_Emirates,?a dealsWith China
?a dealsWith Netherlands,?a dealsWith China
?a dealsWith Germany,?a dealsWith China
?a dealsWith Turkey,?a dealsWith China
?a dealsWith United_States,?a dealsWith China
?a dealsWith Saudi_Arabia,?a dealsWith China
?a dealsWith India,?a dealsWith China
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Member_states_of_the_Organisation_of_Islamic_Cooperation,?a dealsWith China
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Member_states_of_the_Arab_League,?a dealsWith China
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Countries_in_Asia,?a dealsWith China
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Western_Asian_countries,?a dealsWith China
?a imports wordnet_consumer_goods_103093574,?a dealsWith China
?a imports wordnet_food_100021265,?a dealsWith China
?a imports wordnet_machinery_103701640,?a dealsWith China
?a imports wordnet_chemical_114806838,?a dealsWith China
?a exports wordnet_sugar_107859284,?a dealsWith China
?a exports wordnet_petroleum_114980579,?a dealsWith China
?a exports wordnet_coffee_bean_107929351,?a dealsWith China
?a exports wordnet_fish_102512053,?a dealsWith China
?a exports wordnet_gold_113371760,?a dealsWith China
?a participatedIn People's_General,?a dealsWith China
?a participatedIn Settling_Accounts,?a dealsWith China
?a participatedIn Operation_Enduring_Freedom,?a dealsWith China
?a participatedIn Korean_War,?a dealsWith China
?a participatedIn Congo_Crisis,?a dealsWith China
?a participatedIn International_Force_for_East_Timor,?a dealsWith China
?a dealsWith Belgium,?a dealsWith United_States
?a dealsWith Canada,?a dealsWith United_States
?a dealsWith Brazil,?a dealsWith United_States
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Spanish-speaking_countries_and_territories,?a dealsWith United_States
?a exports wordnet_sugar_107859284,?a dealsWith United_States
?a participatedIn Korean_War,?a dealsWith United_States
?a participatedIn Congo_Crisis,?a dealsWith United_States
?a participatedIn International_Force_for_East_Timor,?a dealsWith United_States
?a hasOfficialLanguage Spanish_language,?a dealsWith United_States
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Living_people,?a hasGender male
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_person_100007846,?a hasGender male
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_scientist_110560637,?a hasGender male
?a isCitizenOf United_States,?a hasGender male
?a hasMusicalRole wordnet_guitar_103467517,?a hasGender male
?a playsFor ?b,?a isAffiliatedTo ?b
?a isAffiliatedTo ?c   ?c isLocatedIn Paris,?a isPoliticianOf France
?a hasChild ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_People_of_the_Algerian_War,?a isPoliticianOf France
?a hasChild ?c   ?c isAffiliatedTo Union_for_a_Popular_Movement,?a isPoliticianOf France
?a hasChild ?c   ?c isAffiliatedTo Socialist_Party_(France),?a isPoliticianOf France
?a hasChild ?c   ?c isAffiliatedTo Union_for_French_Democracy,?a isPoliticianOf France
?a hasChild ?c   ?c isAffiliatedTo French_Section_of_the_Workers'_International,?a isPoliticianOf France
?a hasChild ?c   ?c wasBornIn Paris,?a isPoliticianOf France
?a hasChild ?c   ?c isCitizenOf France,?a isPoliticianOf France
?a wasBornIn ?c   ?c isLocatedIn France,?a isPoliticianOf France
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_commune_108541609,?a isPoliticianOf France
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Cities_in_France,?a isPoliticianOf France
?a wasBornIn ?c   Polytech_Group_(France) isLocatedIn ?c,?a isPoliticianOf France
?a wasBornIn ?c   Sciences_Po isLocatedIn ?c,?a isPoliticianOf France
?a wasBornIn ?c   Total_S.A. isLocatedIn ?c,?a isPoliticianOf France
?a wasBornIn ?c   School_for_Advanced_Studies_in_the_Social_Sciences isLocatedIn ?c,?a isPoliticianOf France
?a wasBornIn ?c   Renault isLocatedIn ?c,?a isPoliticianOf France
?a wasBornIn ?c   France hasCapital ?c,?a isPoliticianOf France
?a wasBornIn ?c   Kingdom_of_France hasCapital ?c,?a isPoliticianOf France
?a wasBornIn ?c   Second_Battle_of_the_Marne happenedIn ?c,?a isPoliticianOf France
?a graduatedFrom ?c   ?c isLocatedIn Dijon,?a isPoliticianOf France
?a isAffiliatedTo ?c   ?c isLocatedIn Berlin,?a isPoliticianOf Germany
?a isAffiliatedTo ?c   ?c isLocatedIn Leipzig,?a isPoliticianOf Germany
?a hasChild ?c   ?c isAffiliatedTo Social_Democratic_Party_of_Germany,?a isPoliticianOf Germany
?a hasChild ?c   ?c isAffiliatedTo Christian_Democratic_Union_of_Germany,?a isPoliticianOf Germany
?a hasChild ?c   ?c isAffiliatedTo Christian_Democratic_Union_(Germany),?a isPoliticianOf Germany
?a hasChild ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_American_people_of_English_descent,?a isPoliticianOf United_States
?a hasChild ?c   ?c isPoliticianOf ?b,?a isPoliticianOf ?b
?a isMarriedTo ?c   ?c isPoliticianOf ?b,?a isPoliticianOf ?b
?a worksAt ?c   Fred_Diamond graduatedFrom ?c,?a livesIn United_States
?a worksAt ?c   Kannan_Soundararajan graduatedFrom ?c,?a livesIn United_States
